Plug: https://twitter.com/t0x0pg

Domain	Count
nhcne.med.navy.mil	3
nimitz.navy.mil	3
nsn.cmar.navy.mil	3
nswg4.navy.mil	3
nypa.gov	3
offutt.af.mil	3
oig.dol.gov	3
osan.Af.mil	3
parks.nyc.gov	3
peacecorps.gov	3
plano.gov	3
ponce.navy.mil	3
pope.af.mil	3
psns.navy.mil	3
randolph.af.mil	3
rl.gov	3
roberts.navy.mil	3
rs.af.mil	3
savannahga.gov	3
schriever.af.mil	3
seabee.navy.mil	3
sec.gov	3
sedgwick.gov	3
sfrta.fl.gov	3
sfwmd.gov	3
shiloh.navy.mil	3
stout.navy.mil	3
swfpac.navy.mil	3
tempe.gov	3
training.navy.mil	3
tx.ngb.army.mil	3
tyndall.af.mil	3
us.amy.mil	3
us.arm.mil	3
us.arrmy.mil	3
us.ary.mil	3
us.gov	3
usss.dhs.gov	3
vfa86.navy.mil	3
wh.gov	3
yahoo.mil	3
1mawmag12.usmc.mil	2
3fssg.usmc.mil	2
3mawyuma.usmc.mil	2
af.mil	2
afg.usmc.mil	2
afghan.swa.army.mil	2
agd.gov	2
alrb.ca.gov	2
altus.af.mil	2
amed.army.mil	2
andrews.af.mil	2
antietam.navy.mil	2
anzio.navy.mil	2
aol.mil	2
apd.lacounty.gov	2
apg.army.mil	2
aphis.usda.gov	2
aqd.nbc.gov	2
arftsm.ang.af.mil	2
ARFTSM.ang.af.mil	2
arleighburke.navy.mil	2
arlingtontx.gov	2
as40.navy.mil	2
ashland.navy.mil	2
az.ngb.army.mil	2
bart.gov	2
bataan.navy.mil	2
beaufort.usmc.mil	2
benning.army.mil	2
blab.afcent.af.mil	2
blue-ridge.navy.mil	2
boe.ca.gov	2
boone.navy.mil	2
bouldercolorado.gov	2
brawley-ca.gov	2
calbar.ca.gov	2
caldwelltx.gov	2
cannon.af.mil	2
carmel.in.gov	2
carter-hall.navy.mil	2
census.gov	2
central.unicor.gov	2
cg67.navy.mil	2
cg73.navy.mil	2
cgcbear.uscg.mil	2
chattanooga.gov	2
columbus.navy.mil	2
contractor.gov	2
contractor.nps.gov	2
conus.mil	2
cook.navy.mil	2
cookcountyil.gov	2
cor.gov	2
courts.phila.gov	2
cv63.navy.mil	2
cvw14.navy.mil	2
cvw2.navy.mil	2
davis.navy.mil	2
dcas.nyc.gov	2
ddg-roosevelt.navy.mil	2
ddg.navy.mil	2
ddg100.navy.mil	2
ddg101.navy.mil	2
ddg104.navy.mil	2
ddg107.navy.mil	2
ddg110.navy.mil	2
ddg55.navy.mil	2
ddg58.navy.mil	2
ddg62.navy.mil	2
ddg77.navy.mil	2
decatur.navy.mil	2
denewc.ang.af.mil	2
dgs.ca.gov	2
dhh.la.gov	2
dhhs.nc.gov	2
dhs.lacounty.gov	2
dir.ca.gov	2
disa.mil	2
djj.virginia.gov	2
djjdp.nc.gov	2
dm.af.mil	2
dnr.wa.gov	2
do.treas.gov	2
doeal.gov	2
dot.pima.gov	2
dsny.nyc.gov	2
dss.ca.gov	2
dtra.mil	2
dtsc.ca.gov	2
dubuque.navy.mil	2
dwaf.gov	2
edd.ca.gov	2
edu.nsw.gov	2
eielson.af.mil	2
elpasotexas.gov	2
ema.alabama.gov	2
fdic.gov	2
ffg60.navy.mil	2
finance.nyc.gov	2
fire.lacounty.gov	2
fisa.nyc.gov	2
fljack.ang.af.mil	2
fmcsa.dot.gov	2
ford.navy.mil	2
fremontne.gov	2
fsis.usda.gov	2
gmail.com.gov	2
Gmail.gov	2
gmail.mil	2
gpls.guam.gov	2
grc.nasa.gov	2
greenecountyga.gov	2
greenvillenc.gov	2
greenwood.in.gov	2
greenwoodsc.gov	2
greshamoregon.gov	2
gruboston.uscg.mil	2
grucharleston.uscg.mil	2
hampton.gov	2
hanscom.af.mil	2
harfordcountymd.gov	2
health.mil	2
health.ok.gov	2
huntsvilleal.gov	2
i-mef.usmc.mil	2
ic.fbi.gov	2
idl.idaho.gov	2
idoc.in.gov	2
ihs.gov	2
iiimef.usmc.mil	2
inel.gov	2
iowacourts.gov	2
iwo-jima.navy.mil	2
jricp.osis.gov	2
keesler.af.mil	2
kingsportTN.gov	2
klakring.navy.mil	2
knox.army.mil	2
lacounty.gov	2
lake-champlain.navy.mil	2
lake-erie.navy.mil	2
law.nyc.gov	2
lc.ca.gov	2
leytegulf.navy.mil	2
lha.navy.mil	2
lhd.navy.mil	2
lsd47.navy.mil	2
mail.chattanooga.gov	2
mail.us.army.mil	2
mail1.monmouth.army.mil	2
marcent.usmc.mil	2
mariettaga.gov	2
mason.navy.mil	2
mcbh.usmc.mil	2
mcm4.navy.mil	2
mcm9.navy.mil	2
mda.mil	2
mesa-verde.usmc.mil	2
mfp.mil	2
miamibeachfl.gov	2
micmac-nsn.gov	2
minneapolismn.gov	2
mmcs.army.mil	2
mo.usda.gov	2
monroecounty.gov	2
moorecountync.gov	2
msa.tra.gov	2
msjack.ang.af.mil	2
ncdps.gov	2
nd.gov	2
nebraska.gov	2
niagarafalls.af.mil	2
nmcourts.gov	2
nmic.navy.mil	2
nnsy.navy.mil	2
nola.gov	2
none.gov	2
noodle.gov	2
nro.mil	2
nsa.naples.navy.mil	2
nv.ngb.army.mil	2
nvl.army.mil	2
nyc.gov	2
nyscot.ang.af.mil	2
occ.treas.gov	2
ocme.nyc.gov	2
ogn.af.mil	2
ohmans.ang.af.mil	2
omh.ny.gov	2
osmre.gov	2
pacom.mil	2
parks.lacounty.gov	2
pearlharbor.usmc.mil	2
pica.army.mil	2
pinckney.navy.mil	2
porter.navy.mil	2
portlandmaine.gov	2
probation.lacounty.gov	2
psc.gov	2
ramage.navy.mil	2
salisburync.gov	2
santabarbaraca.gov	2
sasebo.navy.mil	2
scottsdaleaz.gov	2
seahawk.gov	2
seattle.gov	2
seymourjohnson.af.mil	2
sheppard.af.mil	2
shoup.navy.mil	2
springdalear.gov	2
springfieldmo.gov	2
srpmic-nsn.gov	2
sss.gov	2
su.army.mil	2
sugarlandtx.gov	2
supshipnn.navy.mil	2
taylor.navy.mil	2
tecom.usmc.mil	2
trenton.navy.mil	2
TVA.gov	2
txdot.gov	2
txelli.ang.af.mil	2
u.s.army.mil	2
uce.gov	2
ucia.gov	2
underwood.navy.mil	2
us.AF.mil	2
us.army..mil	2
us.med.navy.mil	2
Usmc.mil	2
usss.treas.gov	2
ustranscom.mil	2
vadoc.virginia.gov	2
vaed.uscourts.gov	2
vance.af.mil	2
vba.va.gov	2
wa.ngb.army.mil	2
warrior.navy.mil	2
waterboards.ca.gov	2
westalliswi.gov	2
westover.af.mil	2
westportct.gov	2
wicourts.gov	2
wisconsin.gov	2
woodstock.gov	2
wv.gov	2
wvchar.ang.af.mil	2
youngstown.af.mil	2
ypd.yonkersny.gov	2
.airg.gov	1
.gov	1
1.gov	1
12mcd.usmc.mil	1
13meufwd.usmc.mil	1
1stiocmd.army.mil	1
22meu.usmc.mil	1
332685.tw.gov	1
3maw.mil	1
3mawcpe.usmc.mil	1
4bct10mtn.army.mil	1
5680.tw.gov	1
6mcd.usmc.mil	1
8mcd.usmc.mil	1
90210police.gov	1
a.gov	1
abq.gov	1
abss3.wpafb.af.mil	1
acs.nyc.gov	1
adab.centaf.af.mil	1
adder.arfor.army.mil	1
adeca.alabama.gov	1
adp.ca.gov	1
afghan.swa.mil	1
afip.osd.mil	1
AFRICOM.mil	1
afspc.af.mil	1
aging.nyc.gov	1
airstasavannah.uscg.mil	1
airtermnorva.navy.mil	1
ake5.navy.mil	1
ake8.navy.mil	1
al.state.gov	1
alacourt.gov	1
albirm.af.mil	1
albuquerque.smil.mil	1
all.gov	1
altoonapa.gov	1
amarillo.gov	1
Andersen.af.mil	1
antmobile.uscg.mil	1
apply.gov	1
ar-usacapoc.soc..mil	1
arc.mda.mil	1
arcent.mil	1
arifjan.arcent.army.mil	1
armc.sbcounty.gov	1
army.pentagon.mil	1
army.us.mil	1
arnold.af.mil	1
artesianm.gov	1
arundel.mdwg.cap.gov	1
asclearwater.uscg.mil	1
asgastj.mil	1
asland.usmc.mil	1
ast.uscg.mil	1
atg.in.gov	1
atgl.navy.mil	1
attorneygeneral.gov	1
auab.centaf.af.mil	1
aus.army.mil	1
autec.navy.mil	1
av.gov	1
avy.mil	1
azcc.gov	1
azdoa.gov	1
azracing.gov	1
b.gov	1
balad.iraq.centcom.mil	1
balls.gov	1
baltimorecountymd.gov	1
bamrj.mar.mil	1
Bart.gov	1
bbb.gov	1
Beale.af.mil	1
bellevuewa.gov	1
belvoir.army.mil	1
bep.gov	1
berlinmd.gov	1
bigballs.gov	1
bitch.gov	1
blab.accent.af.mil	1
bliss.army.mil	1
bloch.nrl.navy.mil	1
blumenau.sc.gov	1
bobs.gov	1
Boe.ca.gov	1
bonhomme.richard.navy.mil	1
boston.gov	1
bot.ibb.gov	1
bountifulutah.gov	1
bradley.navy.mil	1
buildings.nyc.gov	1
burbankil.gov	1
burr-ridge.gov	1
buttboob.gov	1
ca.ngb.army.mil	1
ca6.uscourts.gov	1
ca7.uscourts.gov	1
cable.navy.mil	1
cacb.uscourts.gov	1
cachan.ang.af.mil	1
cadc.uscourts.gov	1
cafres.ang.af.mil	1
calhouncountymi.gov	1
calpers.ca.gov	1
cannon.afa.mil	1
carswell.af.mil	1
casp.uscourts.gov	1
cbn72.navy.mil	1
ccsg3.navy.mil	1
cdatribe-nsn.gov	1
cdcr.gov	1
cder.fda.gov	1
cdhd.idaho.gov	1
cds2.navy.mil	1
cen.amedd.army.mil	1
centeral.unicor.gov	1
cg-66.navy.mil	1
cgcdiligence.uscg.mil	1
chafee.navy.mil	1
charleston-sc.gov	1
charlottenc.gov	1
che.in.gov	1
cherrypoint.usmc.mil	1
cheyennemountain.af.mil	1
chicopeema.gov	1
chief.navy.mil	1
chisholm.edu.gov	1
chp.gov	1
churchill.navy.mil	1
ci.garland.tx.us.gov	1
ci.irs.gov	1
ci.milpitas.ca.gov	1
city.gov	1
cityofdalton-ga.gov	1
cityofplainville-ks.gov	1
civ.mail.mil	1
cjfksg.navy.mil	1
clark.wa.gov	1
clintin.gov	1
cn75.nay.mil	1
cnfk.navy.mil	1
co.madera.ca.gov	1
cobuck.ang.af.mil	1
coconino.az.gov	1
columbiacountyga.gov	1
columbus.af.mil	1
comdt.uscg.mil	1
commerce.ca.gov	1
conus.us.army.mil	1
corn.gov	1
cornwallny.gov	1
correo.policia.co.gov	1
correo.policia.gov	1
countyoforange.gov	1
cpd.gov	1
cpen.med.navy.mil	1
cpr1.navy.mil	1
cpr3.navy.mil	1
cpuc.ca.gov	1
crommelin.navy.mil	1
crs.loc.gov	1
cruz.senate.gov	1
csbf.nasa.gov	1
csh.dmh.ca.gov	1
csosa.gov	1
cssemnf-wiraq.usmc.mil	1
ctf70.navy.mil	1
ctr.navy.mil	1
ctrnavy.mil	1
curts.navy.mil	1
cvn-76.navy.mil	1
cvn68.nacy.mil	1
cvw1.navy.mil	1
cvw3.navy.mil	1
cvw9.navy.mil	1
cybercom.mil	1
d7taclet.uscg.mil	1
danbury-ct.gov	1
davie-fl.gov	1
daytonva.gov	1
dbw.ca.gov	1
dca.ca.gov	1
dcr.virginia.gov	1
ddd.gov	1
ddg109.navy.mil	1
ddg111.navy.mil	1
ddg56.navy.mil	1
DDG88.navy.mil	1
ddg93.navy.mil	1
ddg94.navy.mil	1
dearborncounty.in.gov	1
deathstar.gov	1
deet.gov	1
defence.gov	1
dekalbcountyga.gov	1
dep.nyc.gov	1
depnyc.gov	1
deq.idaho.gov	1
desarrollosocial.gov	1
detran.pe.gov	1
detroit.gov	1
detroit.mi.gov	1
Dfas.mil	1
DFAS.mil	1
dfd.whs.mil	1
dgg95.navy.mil	1
dgs.can.gov	1
dhec.sc.gov	1
dhmh.md.state.gov	1
dhp.virginia.gov	1
dhs.vic.gov	1
dhw.idaho.gov	1
dir.texas.gov	1
dls.virginia.gov	1
dmh.mo.gov	1
dmr.ms.gov	1
dmv.virginia.gov	1
dnr.gov	1
doas.ga.gov	1
dobbins.af.mil	1
doc.gov	1
doc.ks.gov	1
doc.nv.gov	1
doc.nyc.gov	1
doc.ok.gov	1
doitt.nyc.gov	1
dolir.mo.gov	1
dor.ca.gov	1
dot.iowa.gov	1
dot.nyc.gov	1
dot.wi.gov	1
dotd.la.gov	1
douglas.county.gov	1
dover.nh.gov	1
doyleffg39.navy.mil	1
dpg.army.mil	1
dps.la.gov	1
dpw.gov	1
drs.virginia.gov	1
ds.ky.gov	1
dsca.mil	1
dss.virginia.gov	1
dubuque.usmc.mil	1
dud.rr.gov	1
dwss.nv.gov	1
earthlink.gov	1
ecd.sbcounty.gov	1
ed.sc.gov	1
edd.a.gov	1
Edd.ca.gov	1
edumail.vic.gov	1
Edwards.af.mil	1
eeoc.gov	1
eglin.f.mil	1
eielso.af.mil	1
eisnehower.navy.mil	1
elbertcounty-co.gov	1
elections.il.gov	1
eletonuclear.gov	1
ellsworth.af.mil	1
ellsworthmaine.gov	1
email.arc.nasa.gov	1
embassy.afgn.army.mil	1
ems.jsc.nasa.gov	1
eucom.mil	1
eyuu.gov	1
fairchild.af.mil	1
fakeemail.gov	1
farmington-mo.gov	1
farts.gov	1
fayettecountyga.gov	1
fcc.gov	1
fcso.ar.gov	1
fdc.dds.ca.gov	1
fdfd.gov	1
fds.gov	1
fema.gov	1
fenstens.cenate.gov	1
ffg.57.navy.mil	1
FFG38.navy.mil	1
FFG59.navy.mil	1
fhfa.gov	1
fhwa.dot.gov	1
fitzgerald.navy.mil	1
fjdthv.gov	1
flhealth.gov	1
flmp.uscourts.gov	1
fm.maricopa.gov	1
fmmc.army.mil	1
fortsmithar.gov	1
Fortsmithar.gov	1
fortworthtx.gov	1
fra.dot.gov	1
framinghamma.gov	1
franklin-in.gov	1
frb.gov	1
friscotexas.gov	1
fta.dot.gov	1
ftb.ca.gov	1
ftb.gov	1
ftc.gov	1
fuck.gov	1
futenma.usmc.mil	1
fvap.gov	1
fws.gov	1
g.army.mil	1
ga.ngb.army.mil	1
gaba.mil	1
gadsdencountyfl.gov	1
gamail.mil	1
ganp.uscourts.gov	1
gapaulding.gov	1
garobi.ang.af.mil	1
gary.navy.mil	1
gasava.ang.af.mil	1
gates.navy.mil	1
georgetown.gov	1
germantown-tn.gov	1
gfdh.gov	1
ghosted.mil	1
ghsdfsdfg.gov	1
gi.af.mil	1
giamil.com.br.gov	1
gimail.gov	1
gimail.mil	1
gimil.af.mil	1
gimil.gov	1
global.mil	1
glynncounty-ga.gov	1
gmail.af.mil	1
gmail.ccpb.gov	1
gmail.h.gov	1
gmao.gsfc.nasa.gov	1
go.army.mil	1
go.doe.gov	1
god.gov	1
gophuckyourself.gov	1
gov.gov	1
gpd.guam.gov	1
grandforks.af.mil	1
groves.navy.mil	1
gruohiovalley.uscg.mil	1
gunston-hall.navy.mil	1
gunter.af.mil	1
gvsd.gov	1
hallcountyne.gov	1
halyburton.navy.mil	1
hamiltoncounty.in.gov	1
harpers-ferry.navy.mil	1
hayward-ca.gov	1
hcd.ca.gov	1
health.nyc.gov	1
hendersoncounty.ky.gov	1
here.gov	1
higgins.navy.mil	1
highland.in.gov	1
highpointnc.gov	1
hil.af.mil	1
hoa.usafricom.mil	1
hoe.gov	1
hopper.navy.mil	1
hot.mil	1
hotmeil.com.gov	1
howardcountymd.gov	1
hq.DHS.gov	1
hr.sbcounty.gov	1
hrsa.gov	1
hsl51.navy.mil	1
hue-city.navy.mil	1
id.ngb.army.mil	1
idoc.idaho.gov	1
ignet.army.mil	1
IIMEF.usmc.mil	1
il..USDA.gov	1
il.spri.af.mil	1
imef.usmc.mil	1
in.gov	1
in.ngb.army.mil	1
inftwa.ang.af.mil	1
inl.gov	1
insurance.ca.gov	1
iran.gov	1
iredell.nc.gov	1
irvingtonny.gov	1
isp.in.gov	1
itaipu.gov	1
itd.idaho.gov	1
izmir.af.mil	1
j.mil	1
jackson.gov	1
jaspercountysc.gov	1
jcse.mil	1
